Notes,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,Fill Type,TIF,Status
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/9/17 12:37:59,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,270,CALL,-1.6,LMT,DAY,FILLED
,,RE #1422187661,SELL,-3,TO CLOSE,TSLA,17 MAR 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/9/17 11:55:45,CUSTOM,BUY,1,TO CLOSE,TSLA,17 FEB 17,270,CALL,-0.36,LMT,DAY,FILLED
,,,SELL,-2,TO OPEN,TSLA,17 FEB 17,275,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,285,CALL,<empty>,,,
,2/9/17 11:55:27,CUSTOM,BUY,1,TO CLOSE,TSLA,17 FEB 17,270,CALL,-0.34,LMT,DAY,FILLED
,,,SELL,-2,TO OPEN,TSLA,17 FEB 17,275,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,285,CALL,<empty>,,,
,2/8/17 12:00:09,VERTICAL,SELL,-2,TO OPEN,TSLA,17 MAR 17,245,PUT,1.35,LMT,DAY,FILLED
,,RE #1421186840,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,2/8/17 11:59:44,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,265,CALL,-1.1,LMT,DAY,FILLED
,,RE #1421191313,SELL,-2,TO CLOSE,TSLA,17 MAR 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,280,CALL,<empty>,,,
,2/8/17 11:59:12,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,265,CALL,0.2,LMT,DAY,FILLED
,,RE #1421193101,SELL,-2,TO OPEN,TSLA,17 FEB 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,280,CALL,<empty>,,,
,2/8/17 11:57:10,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,265,CALL,0.2,LMT,DAY,FILLED
,,,SELL,-2,TO CLOSE,TSLA,17 FEB 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,280,CALL,<empty>,,,
,2/8/17 11:54:20,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,265,CALL,-1.15,LMT,DAY,FILLED
,,,SELL,-2,TO CLOSE,TSLA,17 MAR 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,280,CALL,<empty>,,,
,1/25/17 22:41:28,VERTICAL,SELL,-2,TO OPEN,TSLA,17 FEB 17,265,CALL,1.45,LMT,DAY,FILLED
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,270,CALL,<empty>,,,
,1/24/17 12:41:34,VERT ROLL,SELL,-2,TO OPEN,TSLA,17 MAR 17,265,CALL,-1.35,LMT,DAY,FILLED
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,270,CALL,<empty>,,,
,,,BUY,2,TO CLOSE,TSLA,17 FEB 17,245,CALL,<empty>,,,
,,,SELL,-2,TO CLOSE,TSLA,17 FEB 17,250,CALL,<empty>,,,
,1/24/17 12:31:55,VERTICAL,SELL,-2,TO OPEN,TSLA,17 FEB 17,240,PUT,1.26,LMT,DAY,FILLED
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,235,PUT,<empty>,,,
,1/9/17 23:38:43,~CONDOR,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,-0.05,LMT,DAY,FILLED
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,SELL,-2,TO OPEN,TSLA,17 FEB 17,245,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,250,CALL,<empty>,,,
,1/8/17 23:30:27,VERTICAL,SELL,-1,TO OPEN,TSLA,17 FEB 17,210,PUT,1.26,LMT,DAY,FILLED
,,RE #1398925729,BUY,1,TO CLOSE,TSLA,17 FEB 17,205,PUT,<empty>,,,
,1/5/17 00:03:13,VERTICAL,SELL,-1,TO OPEN,TSLA,17 FEB 17,205,PUT,1.15,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,200,PUT,<empty>,,,
,1/24/17 12:37:44,CONDOR,BUY,2,TO CLOSE,TSLA,17 FEB 17,245,CALL,1.1,LMT,DAY,EXPIRED
,,RE #1409564067,SELL,-2,TO CLOSE,TSLA,17 FEB 17,250,CALL,<empty>,,,
,,,SELL,-2,TO OPEN,TSLA,17 FEB 17,260,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,265,CALL,<empty>,,,
,1/9/17 14:25:08,CONDOR,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,0.65,LMT,DAY,EXPIRED
,,RE #1398925728,SELL,-1,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,SELL,-1,TO OPEN,TSLA,17 FEB 17,235,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,240,CALL,<empty>,,,
,1/5/17 00:03:23,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,0.28,LMT,DAY,EXPIRED
,,,SELL,-2,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,235,CALL,<empty>,,,
,1/4/17 14:30:03,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,0.3,LMT,DAY,EXPIRED
,,RE #1396549819,SELL,-2,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,235,CALL,<empty>,,,
,2/23/17 12:01:48,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,260,PUT,-1.05,LMT,DAY,CANCELED
,,RE #1431900242,SELL,-3,TO CLOSE,TSLA,17 MAR 17,250,PUT,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,2/23/17 12:01:26,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,260,PUT,-1.05,LMT,DAY,CANCELED
,,RE #1431900263,SELL,-3,TO CLOSE,TSLA,17 MAR 17,250,PUT,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,2/23/17 12:00:40,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,260,PUT,-1.15,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,250,PUT,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,2/23/17 12:00:21,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,260,PUT,-1.15,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,250,PUT,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,2/13/17 21:51:52,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,-0.03,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,295,CALL,<empty>,,,
,2/13/17 21:51:31,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,-0.03,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,295,CALL,<empty>,,,
,2/13/17 21:51:17,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,-0.03,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,295,CALL,<empty>,,,
,2/13/17 21:50:54,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,-0.03,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,295,CALL,<empty>,,,
,2/13/17 11:53:33,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,280,CALL,-1.81,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,2/13/17 11:53:09,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,280,CALL,-1.81,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,2/13/17 11:52:57,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,280,CALL,-1.81,LMT,DAY,CANCELED
,,RE #1424408097,SELL,-3,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,2/13/17 11:52:41,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,280,CALL,-1.85,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,2/13/17 11:52:27,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,280,CALL,-1.85,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,2/13/17 11:48:30,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.62,LMT,DAY,CANCELED
,,RE #1424402042,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/13/17 11:47:01,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.6,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/13/17 11:46:43,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.55,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/13/17 11:46:31,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.57,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/9/17 12:05:41,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,270,CALL,-1.8,LMT,DAY,CANCELED
,,RE #1422187661,SELL,-3,TO CLOSE,TSLA,17 MAR 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/9/17 12:04:50,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,270,CALL,-1.8,LMT,DAY,CANCELED
,,RE #1422187635,SELL,-3,TO CLOSE,TSLA,17 MAR 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/9/17 12:04:19,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,270,CALL,-1.76,LMT,DAY,CANCELED
,,RE #1422187661,SELL,-3,TO CLOSE,TSLA,17 MAR 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/9/17 11:52:32,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,270,CALL,-1.82,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/9/17 11:52:11,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,270,CALL,-1.82,LMT,DAY,CANCELED
,,,SELL,-3,TO CLOSE,TSLA,17 MAR 17,280,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/8/17 11:56:52,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,265,CALL,0.15,LMT,DAY,CANCELED
,,RE #1421193101,SELL,-2,TO CLOSE,TSLA,17 FEB 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,280,CALL,<empty>,,,
,2/8/17 11:56:30,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,265,CALL,0.2,LMT,DAY,CANCELED
,,RE #1421193101,SELL,-2,TO CLOSE,TSLA,17 FEB 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,280,CALL,<empty>,,,
,2/8/17 11:55:49,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,265,CALL,0.2,LMT,DAY,CANCELED
,,,SELL,-2,TO CLOSE,TSLA,17 FEB 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,280,CALL,<empty>,,,
,2/8/17 11:54:44,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,265,CALL,-1.2,LMT,DAY,CANCELED
,,,SELL,-2,TO CLOSE,TSLA,17 MAR 17,270,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,280,CALL,<empty>,,,
,2/8/17 11:51:26,VERTICAL,SELL,-2,TO OPEN,TSLA,17 MAR 17,245,PUT,1.38,LMT,DAY,CANCELED
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,1/24/17 12:32:16,CONDOR,BUY,2,TO CLOSE,TSLA,17 FEB 17,245,CALL,1.13,LMT,DAY,CANCELED
,,RE #1409564067,SELL,-2,TO CLOSE,TSLA,17 FEB 17,250,CALL,<empty>,,,
,,,SELL,-2,TO OPEN,TSLA,17 FEB 17,260,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,265,CALL,<empty>,,,
,1/24/17 12:31:25,CONDOR,BUY,2,TO CLOSE,TSLA,17 FEB 17,245,CALL,1.12,LMT,DAY,CANCELED
,,,SELL,-2,TO CLOSE,TSLA,17 FEB 17,250,CALL,<empty>,,,
,,,SELL,-2,TO OPEN,TSLA,17 FEB 17,260,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,265,CALL,<empty>,,,
,1/9/17 11:07:27,CONDOR,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,0.63,LMT,DAY,CANCELED
,,RE #1398925728,SELL,-1,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,SELL,-1,TO OPEN,TSLA,17 FEB 17,235,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,240,CALL,<empty>,,,
,1/8/17 23:30:15,VERTICAL,SELL,-1,TO OPEN,TSLA,17 FEB 17,210,PUT,1.25,LMT,DAY,CANCELED
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,205,PUT,<empty>,,,
,1/8/17 23:29:49,CONDOR,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,0.62,LMT,DAY,CANCELED
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,SELL,-1,TO OPEN,TSLA,17 FEB 17,235,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,240,CALL,<empty>,,,
,1/4/17 14:26:20,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,0.25,LMT,DAY,CANCELED
,,RE #1396549819,SELL,-2,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,235,CALL,<empty>,,,
,1/4/17 14:25:40,BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,225,CALL,0.24,LMT,DAY,CANCELED
,,,SELL,-2,TO CLOSE,TSLA,17 FEB 17,230,CALL,<empty>,,,
,,,BUY,1,TO OPEN,TSLA,17 FEB 17,235,CALL,<empty>,,,
